nombre,descripcion,precio,categoria,marca,modelo,color,peso,dimensiones,material,garantia_meses,eficiencia_energetica,impacto_ambiental,puntuacion_eco,imagen_url,stock_inicial,stock_minimo,stock_maximo
Smartphone Ecológico Verde,Teléfono inteligente fabricado con materiales reciclados y packaging biodegradable,899.99,Electrónicos,EcoTech,ET-SM-2024,Verde,0.18,15x7x0.8 cm,Aluminio reciclado,24,A+++,Muy Bajo,9.5,https://example.com/smartphone-eco.jpg,25,5,50
Auriculares Bambú Pro,Auriculares inalámbricos con carcasa de bambú sostenible,159.99,Accesorios Eco,NaturalSound,NS-AUR-001,Natural,0.25,18x16x8 cm,Bambú certificado,12,A++,Bajo,8.8,https://example.com/auriculares-bambu.jpg,40,10,80
Cargador Solar Portátil,Cargador solar de alta eficiencia para dispositivos móviles,89.99,Energía Renovable,SolarPower,SP-CHG-300,Negro,0.45,20x15x2 cm,Silicio monocristalino,36,A+++,Muy Bajo,9.8,https://example.com/cargador-solar.jpg,30,8,60
Mochila Eco Aventura,Mochila de trekking fabricada con botellas de plástico recicladas,199.99,Accesorios Eco,GreenTrail,GT-MCH-50L,Azul,1.2,60x35x20 cm,Poliéster reciclado,24,N/A,Bajo,8.2,https://example.com/mochila-eco.jpg,15,3,30
Botella Térmica Acero,Botella térmica de acero inoxidable sin BPA con aislamiento superior,45.99,Hogar Saludable,PureSteel,PS-BOT-500,Plateado,0.35,25x7x7 cm,Acero inoxidable 316,60,N/A,Muy Bajo,9.2,https://example.com/botella-termica.jpg,50,15,100
Jabón Artesanal Lavanda,Jabón natural artesanal con aceite de lavanda orgánica,12.99,Cuidado Personal,NaturalSoap,NS-JAB-LAV,Morado,0.12,8x5x3 cm,Ingredientes orgánicos,6,N/A,Muy Bajo,9.0,https://example.com/jabon-lavanda.jpg,80,20,150
Lámpara LED Solar Mesa,Lámpara de mesa con panel solar integrado y batería de larga duración,129.99,Energía Renovable,EcoLight,EL-LAM-SOL,Blanco,0.8,25x15x15 cm,ABS reciclado,24,A+++,Muy Bajo,9.3,https://example.com/lampara-solar.jpg,20,5,40
Maceta Biodegradable Grande,Maceta biodegradable para plantas grandes hecha de fibra de coco,25.99,Jardinería Orgánica,EcoGarden,EG-MAC-L30,Marrón,0.5,30x30x25 cm,Fibra de coco,12,N/A,Muy Bajo,8.7,https://example.com/maceta-biodegradable.jpg,35,10,70
Detergente Enzimático Verde,Detergente ecológico concentrado con enzimas naturales biodegradables,18.99,Limpieza Ecológica,CleanGreen,CG-DET-1L,Verde,1.05,25x8x8 cm,Fórmula vegetal,N/A,A++,Muy Bajo,9.1,https://example.com/detergente-verde.jpg,60,15,120
Zapatillas Running Eco,Zapatillas deportivas hechas con materiales reciclados y suela de caucho natural,159.99,Calzado Sostenible,EcoRun,ER-ZAP-ECO,Gris,0.7,32x12x10 cm,Malla reciclada,12,N/A,Bajo,8.5,https://example.com/zapatillas-eco.jpg,25,8,50
