nombre,descripcion,precio,categoria,marca,modelo,color,peso,dimensiones,material,garantia_meses,eficiencia_energetica,impacto_ambiental,puntuacion_eco,imagen_url,stock_inicial,stock_minimo,stock_maximo
Camiseta Orgánica Bambú,Camiseta 100% fibra de bambú orgánico suave y transpirable,45.90,Ropa Ecológica,EcoWear,Bamboo Basic,Blanco,0.15,S: 40x60cm,Fibra de bambú,6,N/A,Bajo,9,https://example.com/camiseta-bambu.jpg,50,10,200
Pantalón Cáñamo Orgánico,Pantalón de cáñamo orgánico resistente y cómodo,89.90,Ropa Ecológica,HempStyle,Eco Classic,Azul,0.45,32x34 pulgadas,Cáñamo orgánico,12,N/A,Bajo,8,https://example.com/pantalon-canamo.jpg,30,5,150
Zapatillas Corcho Reciclado,Zapatillas deportivas con suela de corcho reciclado,125.00,Calzado Sostenible,CorkFeet,Sport Eco,Negro,0.6,Talla 42,Corcho reciclado,24,N/A,Bajo,9,https://example.com/zapatillas-corcho.jpg,40,8,120
Botella Acero Inoxidable,Botella térmica de acero inoxidable libre de BPA,35.50,Accesorios Ecológicos,EcoBottle,Thermo Pro,Plateado,0.3,500ml,Acero inoxidable,36,N/A,Bajo,8,https://example.com/botella-acero.jpg,100,20,300
Mochila Plástico Reciclado,Mochila impermeable hecha de botellas PET recicladas,75.00,Accesorios Ecológicos,ReNew,Ocean Pack,Verde,0.8,45x30x15cm,PET reciclado,18,N/A,Bajo,7,https://example.com/mochila-pet.jpg,25,5,80
Jabón Natural Lavanda,Jabón artesanal de lavanda orgánica sin químicos,12.50,Cuidado Personal,NaturalSoap,Lavender Pure,Morado,0.12,10x6x3cm,Aceites esenciales,N/A,N/A,Bajo,9,https://example.com/jabon-lavanda.jpg,200,30,500
Champú Sólido Coco,Champú sólido de aceite de coco para todo tipo de cabello,18.90,Cuidado Personal,EcoHair,Coconut Solid,Blanco,0.08,7x7x3cm,Aceite de coco,N/A,N/A,Bajo,8,https://example.com/champu-coco.jpg,150,25,400
Pasta Dental Bambú,Pasta dental natural en envase de bambú biodegradable,22.00,Cuidado Personal,BambooDent,Natural Fresh,Verde,0.1,15x4x4cm,Bambú biodegradable,N/A,N/A,Bajo,9,https://example.com/pasta-bambu.jpg,80,15,200
Quinoa Orgánica Premium,Quinoa real orgánica certificada del altiplano peruano,28.50,Alimentos Orgánicos,AndeanGrain,Royal Quinoa,Blanco,1.0,1kg,Quinoa orgánica,N/A,N/A,Bajo,10,https://example.com/quinoa-organica.jpg,60,10,150
Miel Abeja Pura,Miel de abeja pura sin procesar de colmenas sustentables,32.00,Alimentos Orgánicos,PureHoney,Wild Flower,Dorado,0.5,500g,Miel natural,N/A,N/A,Bajo,9,https://example.com/miel-pura.jpg,40,8,100
Café Orgánico Tostado,Café orgánico de comercio justo tostado artesanalmente,35.90,Alimentos Orgánicos,FairTrade,Mountain Blend,Marrón,0.25,250g,Café orgánico,N/A,N/A,Bajo,8,https://example.com/cafe-organico.jpg,70,12,200
Aceite Oliva Virgen,Aceite de oliva extra virgen prensado en frío,42.00,Alimentos Orgánicos,OlivePure,Extra Virgin,Verde,0.5,500ml,Aceitunas orgánicas,N/A,N/A,Bajo,9,https://example.com/aceite-oliva.jpg,35,6,90
Arroz Integral Orgánico,Arroz integral orgánico de grano largo sin pesticidas,15.80,Alimentos Orgánicos,OrganicRice,Long Grain,Marrón,1.0,1kg,Arroz integral,N/A,N/A,Bajo,8,https://example.com/arroz-integral.jpg,80,15,250
Frijoles Negros Orgánicos,Frijoles negros orgánicos ricos en proteína vegetal,18.50,Alimentos Orgánicos,PlantProtein,Black Beans,Negro,0.9,900g,Frijoles orgánicos,N/A,N/A,Bajo,8,https://example.com/frijoles-negros.jpg,90,18,220
Avena Orgánica Integral,Avena integral orgánica rica en fibra y proteínas,22.90,Alimentos Orgánicos,WholeGrain,Organic Oats,Beige,0.8,800g,Avena orgánica,N/A,N/A,Bajo,9,https://example.com/avena-organica.jpg,65,12,180
Almendras Orgánicas,Almendras orgánicas crudas sin sal ni aceites añadidos,45.00,Alimentos Orgánicos,NutriNuts,Raw Almonds,Beige,0.5,500g,Almendras orgánicas,N/A,N/A,Bajo,9,https://example.com/almendras-organicas.jpg,30,5,80
Lámpara LED Solar,Lámpara LED recargable con panel solar incorporado,65.00,Energía Renovable,SolarLight,Garden Pro,Blanco,0.4,25x15cm,Plástico reciclado,24,A++,Bajo,9,https://example.com/lampara-solar.jpg,45,8,120
Cargador Solar Portátil,Cargador solar portátil para dispositivos móviles,85.90,Energía Renovable,SolarTech,Power Bank,Negro,0.35,20x15x2cm,Silicio policristalino,12,A+,Bajo,8,https://example.com/cargador-solar.jpg,20,4,60
Panel Solar Flexible,Panel solar flexible de 100W para camping y viajes,320.00,Energía Renovable,FlexSolar,Flex 100,Azul,2.5,105x54cm,Silicio monocristalino,60,A+++,Bajo,10,https://example.com/panel-flexible.jpg,15,3,40
Estufa Solar Portátil,Estufa solar portátil para cocinar sin electricidad,180.00,Energía Renovable,SolarCook,Portable Chef,Plateado,3.2,50x40x20cm,Aluminio reflectante,24,A++,Bajo,9,https://example.com/estufa-solar.jpg,12,2,30
Ventilador Solar Mesa,Ventilador de mesa con alimentación solar y batería,95.00,Energía Renovable,AirSolar,Desk Fan,Blanco,0.8,25x25x30cm,Plástico ABS,18,A+,Bajo,8,https://example.com/ventilador-solar.jpg,25,5,70
Detergente Biodegradable,Detergente líquido biodegradable concentrado,24.90,Limpieza Ecológica,CleanGreen,Bio Wash,Transparente,1.2,1L,Surfactantes vegetales,N/A,N/A,Bajo,9,https://example.com/detergente-bio.jpg,100,20,300
Suavizante Natural,Suavizante de ropa natural con aceites esenciales,19.80,Limpieza Ecológica,SoftNature,Essential Soft,Azul,1.0,1L,Aceites esenciales,N/A,N/A,Bajo,8,https://example.com/suavizante-natural.jpg,80,15,200
Lavavajillas Ecológico,Lavavajillas líquido ecológico sin fosfatos,16.50,Limpieza Ecológica,EcoDish,Phosphate Free,Verde,0.75,750ml,Tensioactivos vegetales,N/A,N/A,Bajo,9,https://example.com/lavavajillas-eco.jpg,120,25,350
Desinfectante Natural,Desinfectante multiusos natural con vinagre blanco,14.90,Limpieza Ecológica,NaturalClean,Multi Surface,Transparente,0.5,500ml,Vinagre blanco,N/A,N/A,Bajo,8,https://example.com/desinfectante-natural.jpg,90,18,250
Limpiador Vidrios Eco,Limpiador de vidrios ecológico sin amoníaco,12.90,Limpieza Ecológica,GlassEco,Ammonia Free,Azul,0.5,500ml,Alcohol etílico,N/A,N/A,Bajo,8,https://example.com/limpiador-vidrios.jpg,70,14,180
Papel Higiénico Bambú,Papel higiénico 100% fibra de bambú biodegradable,18.50,Higiene Sostenible,BambooPaper,Soft Eco,Blanco,0.8,12 rollos,Fibra de bambú,N/A,N/A,Bajo,9,https://example.com/papel-bambu.jpg,150,30,400
Toallas Húmedas Biodegradables,Toallas húmedas biodegradables para bebés,22.00,Higiene Sostenible,EcoWipes,Baby Safe,Blanco,0.3,80 unidades,Viscosa biodegradable,N/A,N/A,Bajo,9,https://example.com/toallas-bio.jpg,200,40,600
Pañales Biodegradables,Pañales biodegradables sin químicos tóxicos,145.00,Higiene Sostenible,EcoDiapers,Chemical Free,Blanco,2.5,30 unidades,Celulosa biodegradable,N/A,N/A,Bajo,8,https://example.com/panales-bio.jpg,50,10,150
Cepillo Dientes Bambú,Cepillo de dientes con mango de bambú biodegradable,8.50,Higiene Sostenible,BambooBrush,Eco Dental,Marrón,0.02,18cm,Bambú biodegradable,N/A,N/A,Bajo,9,https://example.com/cepillo-bambu.jpg,300,60,800
Esponja Fibra Coco,Esponja natural de fibra de coco para limpieza,6.90,Higiene Sostenible,CocoFiber,Natural Scrub,Marrón,0.05,10x7x3cm,Fibra de coco,N/A,N/A,Bajo,8,https://example.com/esponja-coco.jpg,250,50,700
Maceta Fibra Coco,Maceta biodegradable de fibra de coco para plantas,15.00,Jardinería Orgánica,CocoGarden,Bio Pot,Marrón,0.2,15x15x15cm,Fibra de coco,N/A,N/A,Bajo,9,https://example.com/maceta-coco.jpg,100,20,300
